                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1294,                 5.3153,                 0.4726,                0.90215,                 1.5953,                0.98784,                0.99902,                0.99392,                0.76153,                0.63774,                0.64331,                0.56696,                0.31951,                0.85802,                 3.0351,                0.19115,                0.50841,                 1.4789,             0.00055293,             0.00055293,             0.00055293
                      1,                0.91538,                 3.7788,                0.42757,                0.65466,                 1.3729,                0.97982,                0.98313,                0.99104,                0.75212,                0.87801,                0.87359,                0.86152,                0.50834,                0.89769,                 2.1632,                0.15848,                0.52764,                 1.5256,              0.0010976,              0.0010976,              0.0010976
                      2,                0.88807,                 3.2529,                  0.416,                0.65331,                 1.3507,                0.99376,                 0.9972,                 0.9941,                0.80712,                0.96915,                0.97158,                0.96679,                0.61118,                0.75843,                 1.4143,                0.15402,                0.48197,                 1.3562,              0.0016313,              0.0016313,              0.0016313
                      3,                0.86731,                 2.7164,                0.41445,                0.62295,                 1.3257,                0.99671,                0.99902,                0.99389,                0.81921,                0.99212,                0.99442,                0.99122,                 0.6978,                0.73797,                 1.1544,                 0.1464,                0.42847,                  1.312,              0.0016175,              0.0016175,              0.0016175
                      4,                0.81938,                 2.2972,                0.40706,                0.57765,                 1.2914,                0.99521,                0.99902,                0.99433,                0.84712,                0.98576,                0.98953,                0.98782,                0.77906,                0.63335,                0.95509,                0.13545,                0.38513,                 1.1777,              0.0016175,              0.0016175,              0.0016175
                      5,                0.80105,                  2.107,                0.40059,                0.55929,                 1.2793,                0.99155,                0.99338,                0.99455,                0.84669,                0.98866,                0.99033,                0.99028,                0.81241,                0.63916,                0.85693,                0.10383,                0.40234,                 1.1879,               0.001601,               0.001601,               0.001601
                      6,                0.77683,                 1.9075,                0.39205,                0.54923,                 1.2692,                 0.9945,                0.99902,                0.99483,                  0.848,                 0.9945,                0.99902,                0.99483,                0.84283,                0.62448,                0.66522,                0.13282,                0.39119,                 1.1535,              0.0015845,              0.0015845,              0.0015845
                      7,                0.75892,                 1.7953,                0.38679,                0.53296,                 1.2482,                0.99826,                0.99902,                0.99477,                0.83295,                0.99826,                0.99902,                0.99477,                0.82068,                0.65031,                0.64571,                0.11904,                 0.4222,                 1.1892,               0.001568,               0.001568,               0.001568
                      8,                0.72926,                 1.6318,                0.37915,                0.51054,                 1.2224,                0.99444,                0.99902,                0.99484,                0.87646,                0.99444,                0.99902,                0.99484,                0.86651,                 0.5704,                0.55188,                0.09897,                0.35182,                 1.0992,              0.0015515,              0.0015515,              0.0015515
                      9,                0.72587,                 1.5727,                0.36861,                0.50269,                 1.2245,                 0.9958,                0.99812,                0.99446,                0.88543,                0.99575,                0.99805,                0.99446,                0.90087,                0.54076,                0.49971,                 0.1128,                0.33217,                 1.0659,               0.001535,               0.001535,               0.001535
                     10,                0.70709,                  1.434,                0.36188,                0.48506,                 1.2064,                0.99855,                0.99899,                0.99451,                0.88949,                0.99705,                0.99637,                0.99405,                0.87798,                0.54922,                0.53779,                 0.1031,                0.32977,                 1.0644,              0.0015185,              0.0015185,              0.0015185
                     11,                0.68115,                  1.363,                0.35528,                0.47317,                 1.1907,                0.99823,                0.99902,                0.99441,                0.87983,                0.99823,                0.99902,                0.99441,                0.90156,                0.54252,                  0.451,                0.08286,                0.32253,                 1.0747,               0.001502,               0.001502,               0.001502
                     12,                0.67981,                 1.3046,                0.34534,                0.46329,                 1.1902,                0.99821,                0.99902,                0.99472,                0.87239,                0.99821,                0.99902,                0.99472,                0.89163,                0.57505,                 0.4878,                0.11301,                0.34434,                 1.0988,              0.0014855,              0.0014855,              0.0014855
                     13,                0.66977,                 1.2525,                0.33746,                0.46087,                  1.182,                0.99764,                0.99902,                0.99446,                0.88892,                0.99764,                0.99902,                0.99446,                0.90845,                0.53048,                0.43849,                 0.0803,                0.31543,                 1.0413,               0.001469,               0.001469,               0.001469
                     14,                0.65674,                 1.2247,                0.32672,                0.44502,                 1.1696,                0.99855,                0.99902,                0.99469,                0.90443,                0.99855,                0.99902,                0.99469,                0.89332,                 0.4992,                0.46454,                0.07015,                0.30538,                  1.001,              0.0014525,              0.0014525,              0.0014525
                     15,                0.63999,                 1.1137,                0.32742,                0.43834,                 1.1601,                0.99867,                0.99902,                0.99454,                0.90722,                0.99867,                0.99902,                0.99454,                 0.9256,                0.47038,                0.39256,                0.08266,                0.28997,                0.98162,               0.001436,               0.001436,               0.001436
                     16,                0.63642,                 1.0903,                0.31489,                0.43446,                 1.1595,                0.99853,                0.99902,                0.99459,                0.90129,                0.99853,                0.99902,                0.99459,                0.92904,                0.49187,                0.36775,                0.10021,                0.29621,                0.99792,              0.0014195,              0.0014195,              0.0014195
                     17,                0.62556,                 1.0577,                0.30516,                0.42675,                 1.1502,                0.99881,                0.99902,                0.99462,                0.91308,                0.99881,                0.99902,                0.99462,                0.93344,                0.46686,                0.35913,                0.07827,                0.27786,                0.97029,              0.0014029,              0.0014029,              0.0014029
                     18,                0.61963,                  1.052,                0.29779,                0.42381,                  1.149,                0.99857,                0.99902,                0.99453,                0.91084,                0.99857,                0.99902,                0.99453,                0.93352,                 0.4869,                0.35097,                0.07776,                0.29098,                0.99051,              0.0013864,              0.0013864,              0.0013864
                     19,                  0.612,                0.95188,                0.29109,                0.41647,                 1.1402,                0.99882,                0.99902,                0.99459,                0.90864,                0.99882,                0.99902,                0.99459,                 0.9359,                0.48474,                0.34267,                0.06198,                0.28418,                0.98789,              0.0013699,              0.0013699,              0.0013699
                     20,                0.60405,                0.95995,                0.28708,                0.41124,                 1.1403,                0.99884,                0.99902,                0.99478,                  0.918,                0.99884,                0.99902,                0.99478,                0.94906,                 0.4483,                0.31337,                0.06306,                0.27155,                0.95197,              0.0013534,              0.0013534,              0.0013534
                     21,                0.60176,                 0.9369,                0.27751,                0.40292,                 1.1357,                0.99877,                0.99902,                0.99483,                0.92405,                0.99877,                0.99902,                0.99483,                0.95235,                0.43725,                0.30712,                0.06779,                0.27404,                0.93671,              0.0013369,              0.0013369,              0.0013369
                     22,                0.59914,                0.92834,                0.27746,                0.40176,                 1.1326,                0.99851,                0.99902,                0.99478,                0.91956,                0.99851,                0.99902,                0.99478,                0.95247,                0.43174,                0.31477,                 0.0542,                0.27225,                0.93684,              0.0013204,              0.0013204,              0.0013204
                     23,                 0.5875,                0.86142,                0.26438,                0.39035,                 1.1314,                0.99837,                0.99902,                0.99466,                0.92175,                0.99837,                0.99902,                0.99466,                0.94544,                  0.431,                0.31458,                0.06394,                0.28403,                0.92886,              0.0013039,              0.0013039,              0.0013039
                     24,                0.57784,                0.84515,                0.26034,                0.39177,                 1.1181,                0.99876,                0.99902,                0.99466,                0.93462,                0.99876,                0.99902,                0.99466,                0.96123,                0.40639,                0.28795,                0.06044,                0.25141,                0.90584,              0.0012874,              0.0012874,              0.0012874
                     25,                 0.5743,                0.86816,                0.25745,                0.38845,                 1.1169,                0.99861,                0.99902,                0.99479,                 0.9204,                0.99861,                0.99902,                0.99479,                0.96207,                0.43256,                0.27579,                 0.0489,                0.27086,                 0.9335,              0.0012709,              0.0012709,              0.0012709
                     26,                0.57107,                0.82398,                0.24841,                0.38819,                 1.1152,                0.99861,                0.99902,                0.99452,                0.92123,                0.99861,                0.99902,                0.99452,                0.96795,                0.43026,                0.27441,                0.05121,                0.26147,                0.93554,              0.0012544,              0.0012544,              0.0012544
                     27,                0.56499,                0.75676,                0.24732,                0.37599,                 1.1122,                0.99868,                0.99902,                0.99443,                0.92594,                0.99868,                0.99902,                0.99443,                0.96014,                0.40545,                0.27807,                0.04835,                0.25062,                0.89808,              0.0012379,              0.0012379,              0.0012379
                     28,                0.56406,                0.77137,                0.24373,                0.38544,                 1.1053,                0.99824,                0.99902,                  0.995,                0.92148,                0.99824,                0.99902,                  0.995,                0.96852,                0.42503,                  0.248,                0.04301,                0.26048,                0.92105,              0.0012214,              0.0012214,              0.0012214
                     29,                0.55563,                0.76109,                0.24317,                0.37387,                 1.1092,                0.99872,                0.99902,                0.99489,                0.92965,                0.99872,                0.99902,                0.99489,                0.96687,                0.41656,                0.27565,                0.05188,                0.25603,                0.91748,              0.0012049,              0.0012049,              0.0012049
